    Command  Max_Row_Access  Runtime_ms  Accesses_per_ms  Accesses_per_RI
        ABS               2    0.000944      2119.766826    135665.076842
   POPCOUNT               0    0.000944         0.000000         0.000000
        ADD               1    0.001191       839.630563     53736.356003
        SUB               1    0.001191       839.630563     53736.356003
        MUL              15    0.005430      2762.430939    176795.580110
        DIV              23    0.016963      1355.852271     86774.545347
        AND               1    0.001164       859.106529     54982.817869
         OR               1    0.001167       856.898029     54841.473865
        XOR               1    0.001191       839.630563     53736.356003
       XNOR               1    0.001164       859.106529     54982.817869
         GT               1    0.001218       821.018062     52545.155993
         LT               1    0.001218       821.018062     52545.155993
         EQ               1    0.001197       835.421888     53467.000835
        MIN               2    0.002007       996.512207     63776.781266
        MAX               2    0.002007       996.512207     63776.781266
 ADD_SCALAR               1    0.000843      1186.239620     75919.335706
 SUB_SCALAR               1    0.000843      1186.239620     75919.335706
 MUL_SCALAR              15    0.003864      3881.987578    248447.204969
 DIV_SCALAR              23    0.015185      1514.702493     96940.959531
 AND_SCALAR               1    0.000816      1225.490196     78431.372549
  OR_SCALAR               1    0.000819      1221.001221     78144.078144
 XOR_SCALAR               1    0.000843      1186.239620     75919.335706
XNOR_SCALAR               1    0.000816      1225.490196     78431.372549
  GT_SCALAR               1    0.000870      1149.425287     73563.218391
  LT_SCALAR               1    0.000870      1149.425287     73563.218391
  EQ_SCALAR               1    0.000849      1177.856302     75382.803298
 MIN_SCALAR               2    0.001311      1525.553013     97635.392830
 MAX_SCALAR               2    0.001311      1525.553013     97635.392830
