    Command  Max_Row_Access  Runtime_ms  Accesses_per_ms  Accesses_per_RI
        ABS               2    0.003608       554.400554     35481.635482
   POPCOUNT               9    0.011553       779.018437     49857.179953
        ADD               1    0.004755       210.304942     13459.516299
        SUB               1    0.004755       210.304942     13459.516299
        MUL              63    0.079896       788.525083     50465.605287
        DIV              95    0.242125       392.358508     25110.944531
        AND               1    0.004656       214.776632     13745.704467
         OR               1    0.004659       214.638334     13736.853402
        XOR               1    0.004755       210.304942     13459.516299
       XNOR               1    0.004656       214.776632     13745.704467
         GT               1    0.004854       206.015657     13185.002060
         LT               1    0.004854       206.015657     13185.002060
         EQ               1    0.004761       210.039908     13442.554085
        MIN               2    0.008019       249.407657     15962.090036
        MAX               2    0.008019       249.407657     15962.090036
 ADD_SCALAR               1    0.003363       297.353553     19030.627416
 SUB_SCALAR               1    0.003363       297.353553     19030.627416
 MUL_SCALAR              63    0.056928      1106.661046     70826.306914
 DIV_SCALAR              95    0.201863       470.617376     30119.512044
 AND_SCALAR               1    0.003264       306.372549     19607.843137
  OR_SCALAR               1    0.003267       306.091215     19589.837772
 XOR_SCALAR               1    0.003363       297.353553     19030.627416
XNOR_SCALAR               1    0.003264       306.372549     19607.843137
  GT_SCALAR               1    0.003462       288.850376     18486.424032
  LT_SCALAR               1    0.003462       288.850376     18486.424032
  EQ_SCALAR               1    0.003369       296.823983     18996.734936
 MIN_SCALAR               2    0.005235       382.043935     24450.811843
 MAX_SCALAR               2    0.005235       382.043935     24450.811843
